time,err,vals,log_values
0.07999999999999996,224.83999999999992,1257.72,7.137055836970086
0.5,74.63999999999999,417.56,6.034428246540098
0.99,45.77000000000001,230.79,5.441508206138953
1.49,34.01000000000002,171.51,5.144641573943989
2.5,24.85000000000001,125.27,4.8304714078561
3.49,24.72,113.32,4.730215674962316
4.49,25.269999999999996,97.56,4.580467573347719
5.49,23.61999999999999,91.2,4.513054897080286
6.49,19.679999999999993,75.98,4.330470147759479
7.5,19.310000000000002,81.02,4.394696037774544
8.49,17.760000000000005,74.5,4.310799125385514
9.5,16.340000000000003,68.5,4.22683374526818
