time,err,vals,log_values
0.13,816.48,2649.28,7.882043183950441
1.01,125.13,288.07,5.663203506158285
1.52,99.87,235.87,5.463280805795784
2.54,79.87,170.74,5.140141931582161
3.51,71.72999999999999,136.56,4.916764078486185
4.52,59.18999999999998,115.26,4.747190446008521
5.51,59.879999999999995,90.78,4.508438997028319
5.49,48.750442515350414,90.78,4.508438997028319
6.51,56.663019267414796,89.32562354435738,4.492288384510436
7.52,55.75964005928435,87.89687486766886,4.476164250790258
8.5,52.223006563624814,80.72109676053356,4.390999963174722
9.52,47.866284141435536,66.06841414355283,4.190690783083116
10.51,49.961355070929486,78.76057167054839,4.366412512131434
11.49,59.744759686639846,96.0849502434893,4.565232698545773
12.48,30.00372221045945,49.243777260215964,3.896783009588882
13.49,27.55626932034724,45.220215964429386,3.8115442426993082
13.51,14.391057070919135,45.220215964429386,3.8115442426993082
14.47,26.939298912954897,37.8727026678248,3.634230606354917
15.48,28.497142714691346,37.2695131470305,3.61817565054109
16.48,27.157777007100847,33.702620783908294,3.517575602403032
17.49,19.425552283847928,28.88185414133968,3.363213513533726
18.48,19.910003709997685,27.988943669612684,3.33180956325153
19.48,19.648779901779687,27.12453034060038,3.3004384970784795
